domain,key,context,locale,source_text,expected_text,human_reviewed,allow_source_match,text
browser_event_docs,title,,en-US,"Browser Event API Docs","Browser Event API Docs",0,0,"Browser Event API Docs"
browser_event_docs,fallback_title,,en-US,"Browser Event Docs","Browser Event Docs",0,0,"Browser Event Docs"
browser_event_docs,unknown_event,,en-US,"Unknown event","Unknown event",0,0,"Unknown event"
browser_event_docs,lead,,en-US,"Curated manual for important browser events. Total documented events: {total}","Curated manual for important browser events. Total documented events: {total}",0,0,"Curated manual for important browser events. Total documented events: {total}"
browser_event_docs,empty_prefix,,en-US,"No browser event docs were generated yet. Run","No browser event docs were generated yet. Run",0,0,"No browser event docs were generated yet. Run"
browser_event_docs,back_to_index,,en-US,"Back to Browser Event API Docs","Back to Browser Event API Docs",0,0,"Back to Browser Event API Docs"
browser_event_docs,col.name,,en-US,Name,Name,0,0,Name
browser_event_docs,col.route,,en-US,Route,Route,0,0,Route
browser_event_docs,col.slug,,en-US,Slug,Slug,0,0,Slug
browser_event_docs,col.summary,,en-US,Summary,Summary,0,0,Summary
browser_event_docs,section.description,,en-US,Description,Description,0,0,Description
browser_event_docs,section.identity,,en-US,Identity,Identity,0,0,Identity
browser_event_docs,identity.slug,,en-US,Slug,Slug,0,0,Slug
browser_event_docs,identity.event_name,,en-US,"Event Name","Event Name",0,0,"Event Name"
browser_event_docs,identity.browser_route,,en-US,"Browser Route","Browser Route",0,0,"Browser Route"
browser_event_docs,identity.class,,en-US,Class,Class,0,0,Class
browser_event_docs,section.authorization,,en-US,Authorization,Authorization,0,0,Authorization
browser_event_docs,authorization.visibility,,en-US,Visibility,Visibility,0,0,Visibility
browser_event_docs,authorization.description,,en-US,Description,Description,0,0,Description
browser_event_docs,section.request_response,,en-US,"Request / Response","Request / Response",0,0,"Request / Response"
browser_event_docs,request.method,,en-US,Method,Method,0,0,Method
browser_event_docs,response.kind,,en-US,"Response Kind","Response Kind",0,0,"Response Kind"
browser_event_docs,response.content_type,,en-US,"Content Type","Content Type",0,0,"Content Type"
browser_event_docs,response.description,,en-US,"Response Description","Response Description",0,0,"Response Description"
browser_event_docs,section.invocation,,en-US,"How to Call This","How to Call This",0,0,"How to Call This"
browser_event_docs,invocation.url_php,,en-US,"PHP URL Helper","PHP URL Helper",0,0,"PHP URL Helper"
browser_event_docs,invocation.template_helper,,en-US,"Template Helper","Template Helper",0,0,"Template Helper"
browser_event_docs,invocation.ajax_helper,,en-US,"AJAX Helper","AJAX Helper",0,0,"AJAX Helper"
browser_event_docs,invocation.ajax_helper_raw,,en-US,"AJAX Helper Raw","AJAX Helper Raw",0,0,"AJAX Helper Raw"
browser_event_docs,section.parameters,,en-US,Parameters,Parameters,0,0,Parameters
browser_event_docs,parameters.empty,,en-US,"No parameters documented.","No parameters documented.",0,0,"No parameters documented."
browser_event_docs,parameter.name,,en-US,Name,Name,0,0,Name
browser_event_docs,parameter.source,,en-US,Source,Source,0,0,Source
browser_event_docs,parameter.type,,en-US,Type,Type,0,0,Type
browser_event_docs,parameter.required,,en-US,Required,Required,0,0,Required
browser_event_docs,parameter.description,,en-US,Description,Description,0,0,Description
browser_event_docs,required_yes,,en-US,yes,yes,0,0,yes
browser_event_docs,required_no,,en-US,no,no,0,0,no
browser_event_docs,section.notes,,en-US,Notes,Notes,0,0,Notes
browser_event_docs,section.side_effects,,en-US,"Side Effects","Side Effects",0,0,"Side Effects"
runtime.site_cutover,readonly_title,,en-US,"Site is read-only","Site is read-only",0,0,"Site is read-only"
runtime.site_cutover,readonly_message,,en-US,"This site instance is locked read-only after a site migration export. Use the new site instance for further work, or explicitly release the cutover lock if you understand that the previous migration export may become inconsistent.","This site instance is locked read-only after a site migration export. Use the new site instance for further work, or explicitly release the cutover lock if you understand that the previous migration export may become inconsistent.",0,0,"This site instance is locked read-only after a site migration export. Use the new site instance for further work, or explicitly release the cutover lock if you understand that the previous migration export may become inconsistent."
