domain,key,context,locale,source_text,expected_text,human_reviewed,text
browser_event_docs,title,,hu_HU,"Browser Event API Docs","Böngészőesemény API dokumentáció",0,"Böngészőesemény API dokumentáció"
browser_event_docs,fallback_title,,hu_HU,"Browser Event Docs","Böngészőesemény dokumentáció",0,"Böngészőesemény dokumentáció"
browser_event_docs,unknown_event,,hu_HU,"Unknown event","Ismeretlen esemény",0,"Ismeretlen esemény"
browser_event_docs,lead,,hu_HU,"Curated manual for important browser events. Total documented events: {total}","Válogatott kézikönyv a fontos böngészőeseményekhez. Dokumentált események száma: {total}",0,"Válogatott kézikönyv a fontos böngészőeseményekhez. Dokumentált események száma: {total}"
browser_event_docs,empty_prefix,,hu_HU,"No browser event docs were generated yet. Run","Még nem készült böngészőesemény dokumentáció. Futtasd",0,"Még nem készült böngészőesemény dokumentáció. Futtasd"
browser_event_docs,back_to_index,,hu_HU,"Back to Browser Event API Docs","Vissza a böngészőesemény API dokumentációhoz",0,"Vissza a böngészőesemény API dokumentációhoz"
browser_event_docs,col.name,,hu_HU,Name,Név,0,Név
browser_event_docs,col.route,,hu_HU,Route,Útvonal,0,Útvonal
browser_event_docs,col.slug,,hu_HU,Slug,Slug,0,Slug
browser_event_docs,col.summary,,hu_HU,Summary,Összefoglaló,0,Összefoglaló
browser_event_docs,section.description,,hu_HU,Description,Leírás,0,Leírás
browser_event_docs,section.identity,,hu_HU,Identity,Azonosítás,0,Azonosítás
browser_event_docs,identity.slug,,hu_HU,Slug,Slug,0,Slug
browser_event_docs,identity.event_name,,hu_HU,"Event Name",Eseménynév,0,Eseménynév
browser_event_docs,identity.browser_route,,hu_HU,"Browser Route","Böngésző útvonal",0,"Böngésző útvonal"
browser_event_docs,identity.class,,hu_HU,Class,Osztály,0,Osztály
browser_event_docs,section.authorization,,hu_HU,Authorization,Jogosultság,0,Jogosultság
browser_event_docs,authorization.visibility,,hu_HU,Visibility,Láthatóság,0,Láthatóság
browser_event_docs,authorization.description,,hu_HU,Description,Leírás,0,Leírás
browser_event_docs,section.request_response,,hu_HU,"Request / Response","Kérés / válasz",0,"Kérés / válasz"
browser_event_docs,request.method,,hu_HU,Method,Metódus,0,Metódus
browser_event_docs,response.kind,,hu_HU,"Response Kind","Válasz típusa",0,"Válasz típusa"
browser_event_docs,response.content_type,,hu_HU,"Content Type",Tartalomtípus,0,Tartalomtípus
browser_event_docs,response.description,,hu_HU,"Response Description","Válasz leírása",0,"Válasz leírása"
browser_event_docs,section.invocation,,hu_HU,"How to Call This","Meghívás módja",0,"Meghívás módja"
browser_event_docs,invocation.url_php,,hu_HU,"PHP URL Helper","PHP URL helper",0,"PHP URL helper"
browser_event_docs,invocation.template_helper,,hu_HU,"Template Helper","Sablon helper",0,"Sablon helper"
browser_event_docs,invocation.ajax_helper,,hu_HU,"AJAX Helper","AJAX Helper",0,"AJAX Helper"
browser_event_docs,invocation.ajax_helper_raw,,hu_HU,"AJAX Helper Raw","AJAX helper nyersen",0,"AJAX helper nyersen"
browser_event_docs,section.parameters,,hu_HU,Parameters,Paraméterek,0,Paraméterek
browser_event_docs,parameters.empty,,hu_HU,"No parameters documented.","Nincs dokumentált paraméter.",0,"Nincs dokumentált paraméter."
browser_event_docs,parameter.name,,hu_HU,Name,Név,0,Név
browser_event_docs,parameter.source,,hu_HU,Source,Forrás,0,Forrás
browser_event_docs,parameter.type,,hu_HU,Type,Típus,0,Típus
browser_event_docs,parameter.required,,hu_HU,Required,Kötelező,0,Kötelező
browser_event_docs,parameter.description,,hu_HU,Description,Leírás,0,Leírás
browser_event_docs,required_yes,,hu_HU,yes,igen,0,igen
browser_event_docs,required_no,,hu_HU,no,nem,0,nem
browser_event_docs,section.notes,,hu_HU,Notes,Megjegyzések,0,Megjegyzések
browser_event_docs,section.side_effects,,hu_HU,"Side Effects",Mellékhatások,0,Mellékhatások
