domain,key,context,locale,source_text,expected_text,human_reviewed,text
browser_event_docs,title,,it_IT,"Browser Event API Docs","Documentazione API eventi browser",0,"Documentazione API eventi browser"
browser_event_docs,fallback_title,,it_IT,"Browser Event Docs","Documentazione eventi browser",0,"Documentazione eventi browser"
browser_event_docs,unknown_event,,it_IT,"Unknown event","Evento sconosciuto",0,"Evento sconosciuto"
browser_event_docs,lead,,it_IT,"Curated manual for important browser events. Total documented events: {total}","Manuale curato per gli eventi browser importanti. Eventi documentati totali: {total}",0,"Manuale curato per gli eventi browser importanti. Eventi documentati totali: {total}"
browser_event_docs,empty_prefix,,it_IT,"No browser event docs were generated yet. Run","La documentazione degli eventi browser non è ancora stata generata. Esegui",0,"La documentazione degli eventi browser non è ancora stata generata. Esegui"
browser_event_docs,back_to_index,,it_IT,"Back to Browser Event API Docs","Torna alla documentazione API eventi browser",0,"Torna alla documentazione API eventi browser"
browser_event_docs,col.name,,it_IT,Name,Nome,0,Nome
browser_event_docs,col.route,,it_IT,Route,Route,0,Route
browser_event_docs,col.slug,,it_IT,Slug,Slug,0,Slug
browser_event_docs,col.summary,,it_IT,Summary,Riepilogo,0,Riepilogo
browser_event_docs,section.description,,it_IT,Description,Descrizione,0,Descrizione
browser_event_docs,section.identity,,it_IT,Identity,Identità,0,Identità
browser_event_docs,identity.slug,,it_IT,Slug,Slug,0,Slug
browser_event_docs,identity.event_name,,it_IT,"Event Name","Nome evento",0,"Nome evento"
browser_event_docs,identity.browser_route,,it_IT,"Browser Route","Route browser",0,"Route browser"
browser_event_docs,identity.class,,it_IT,Class,Classe,0,Classe
browser_event_docs,section.authorization,,it_IT,Authorization,Autorizzazione,0,Autorizzazione
browser_event_docs,authorization.visibility,,it_IT,Visibility,Visibilità,0,Visibilità
browser_event_docs,authorization.description,,it_IT,Description,Descrizione,0,Descrizione
browser_event_docs,section.request_response,,it_IT,"Request / Response","Richiesta / risposta",0,"Richiesta / risposta"
browser_event_docs,request.method,,it_IT,Method,Metodo,0,Metodo
browser_event_docs,response.kind,,it_IT,"Response Kind","Tipo risposta",0,"Tipo risposta"
browser_event_docs,response.content_type,,it_IT,"Content Type","Tipo contenuto",0,"Tipo contenuto"
browser_event_docs,response.description,,it_IT,"Response Description","Descrizione risposta",0,"Descrizione risposta"
browser_event_docs,section.invocation,,it_IT,"How to Call This","Come chiamarlo",0,"Come chiamarlo"
browser_event_docs,invocation.url_php,,it_IT,"PHP URL Helper","Helper URL PHP",0,"Helper URL PHP"
browser_event_docs,invocation.template_helper,,it_IT,"Template Helper","Helper template",0,"Helper template"
browser_event_docs,invocation.ajax_helper,,it_IT,"AJAX Helper","AJAX Helper",0,"AJAX Helper"
browser_event_docs,invocation.ajax_helper_raw,,it_IT,"AJAX Helper Raw","AJAX Helper raw",0,"AJAX Helper raw"
browser_event_docs,section.parameters,,it_IT,Parameters,Parametri,0,Parametri
browser_event_docs,parameters.empty,,it_IT,"No parameters documented.","Nessun parametro documentato.",0,"Nessun parametro documentato."
browser_event_docs,parameter.name,,it_IT,Name,Nome,0,Nome
browser_event_docs,parameter.source,,it_IT,Source,Sorgente,0,Sorgente
browser_event_docs,parameter.type,,it_IT,Type,Tipo,0,Tipo
browser_event_docs,parameter.required,,it_IT,Required,Obbligatorio,0,Obbligatorio
browser_event_docs,parameter.description,,it_IT,Description,Descrizione,0,Descrizione
browser_event_docs,required_yes,,it_IT,yes,sì,0,sì
browser_event_docs,required_no,,it_IT,no,no,0,no
browser_event_docs,section.notes,,it_IT,Notes,Note,0,Note
browser_event_docs,section.side_effects,,it_IT,"Side Effects","Effetti collaterali",0,"Effetti collaterali"
